id,product_id,name,price,sku,created_at,updated_at
1,1,Solo,220.0,PASTA-CTP-SOLO,2025-10-10 09:00:00,2026-01-10 10:00:00
2,1,Family,820.0,PASTA-CTP-FAM,2025-10-10 09:00:00,2026-01-10 10:00:00
3,2,Solo,240.0,PASTA-CC-SOLO,2025-10-10 09:00:00,2026-01-10 10:00:00
4,2,Family,920.0,PASTA-CC-FAM,2025-10-10 09:00:00,2026-01-10 10:00:00
5,3,Solo,280.0,PASTA-SS-SOLO,2025-10-10 09:00:00,2026-01-10 10:00:00
6,3,Family,980.0,PASTA-SS-FAM,2025-10-10 09:00:00,2026-01-10 10:00:00
7,4,Solo,470.0,PASTA-BL-SOLO,2025-10-10 09:00:00,2026-01-10 10:00:00
8,4,Family,1350.0,PASTA-BL-FAM,2025-10-10 09:00:00,2026-01-10 10:00:00
9,5,Regular,160.0,BRKFST-TOCINO,2025-10-10 09:00:00,2026-01-10 10:00:00
10,6,Regular,225.0,BRKFST-TAPA,2025-10-10 09:00:00,2026-01-10 10:00:00
11,7,Regular,165.0,BRKFST-LONGGA,2025-10-10 09:00:00,2026-01-10 10:00:00
12,8,Regular,275.0,BRKFST-BANGUS,2025-10-10 09:00:00,2026-01-10 10:00:00
13,9,Regular,320.0,ALA-WINGS-8,2025-10-10 09:00:00,2026-01-10 10:00:00
14,10,Regular,170.0,ALA-TACO-BEEF,2025-10-10 09:00:00,2026-01-10 10:00:00
15,11,Regular,170.0,ALA-TACO-SHRIMP,2025-10-10 09:00:00,2026-01-10 10:00:00
16,12,Regular,120.0,ALA-NACHOS-CHEESE,2025-10-10 09:00:00,2026-01-10 10:00:00
17,13,Regular,165.0,ALA-NACHOS-BEEF,2025-10-10 09:00:00,2026-01-10 10:00:00
18,14,Regular,110.0,ALA-FRIES,2025-10-10 09:00:00,2026-01-10 10:00:00
19,15,Good for 2,250.0,PIZZA-MARG,2025-10-10 09:00:00,2026-01-10 10:00:00
20,16,Good for 2,300.0,PIZZA-4CHEESE,2025-10-10 09:00:00,2026-01-10 10:00:00
21,17,Spicy,300.0,PIZZA-PEP-SPICY,2025-10-10 09:00:00,2026-01-10 10:00:00
22,17,Non Spicy,300.0,PIZZA-PEP-REG,2025-10-10 09:00:00,2026-01-10 10:00:00
23,18,Good for 2,370.0,PIZZA-PESTO-TAPA,2025-10-10 09:00:00,2026-01-10 10:00:00
24,19,Regular,20.0,EXTRA-EGG,2025-10-10 09:00:00,2026-01-10 10:00:00
25,20,Regular,30.0,EXTRA-RICE,2025-10-10 09:00:00,2026-01-10 10:00:00
26,21,Regular,25.0,EXTRA-WATER,2025-10-10 09:00:00,2026-01-10 10:00:00
27,22,150ml,150.0,EXTRA-HOTSAUCE-150,2025-10-10 09:00:00,2026-01-10 10:00:00
28,23,150ml,80.0,EXTRA-SUKA-150,2025-10-10 09:00:00,2026-01-10 10:00:00
29,24,Hot 12oz,60.0,COF-24-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
30,25,Hot 12oz,100.0,COF-25-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
31,25,Iced 22oz,110.0,COF-25-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
32,26,Hot 12oz,120.0,COF-26-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
33,26,Iced 22oz,135.0,COF-26-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
34,27,Hot 12oz,120.0,COF-27-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
35,27,Iced 22oz,135.0,COF-27-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
36,28,Hot 12oz,135.0,COF-28-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
37,28,Iced 22oz,160.0,COF-28-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
38,29,Hot 12oz,135.0,COF-29-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
39,29,Iced 22oz,160.0,COF-29-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
40,30,Iced 22oz,120.0,COF-30-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
41,31,Hot 12oz,150.0,COF-31-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
42,31,Iced 22oz,175.0,COF-31-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
43,32,Hot 12oz,150.0,COF-32-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
44,32,Iced 22oz,175.0,COF-32-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
45,33,Hot 12oz,165.0,COF-33-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
46,33,Iced 22oz,195.0,COF-33-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
47,34,Iced 22oz,170.0,COF-34-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
48,35,Iced 22oz,170.0,COF-35-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
49,36,Iced 22oz,185.0,COF-36-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
50,37,Iced 22oz,225.0,COF-37-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
51,38,Iced 22oz,265.0,COF-38-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
52,39,Hot 12oz,130.0,NC-39-Hot12,2025-10-10 09:00:00,2026-01-10 10:00:00
53,39,Iced 22oz,150.0,NC-39-Iced22,2025-10-10 09:00:00,2026-01-10 10:00:00
